City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather Description,Rain in inches (last 3 hrs),Snow in inches (last 3 hrs)
215,Meybod,32.25,54.02,69.8,35,40,16.11,IR,2020-03-01 18:17:14,scattered clouds,0.0,0.0
216,Leningradskiy,69.38,178.42,-1.5,86,100,18.88,RU,2020-03-01 18:17:14,overcast clouds,0.0,0.0
217,Ulety,51.36,112.48,4.78,86,24,2.66,RU,2020-03-01 18:17:14,few clouds,0.0,0.0
218,Moose Factory,51.26,-80.61,15.8,47,1,10.29,CA,2020-03-01 18:17:14,clear sky,0.0,0.0
219,Biak,-0.91,122.88,83.73,73,65,7.72,ID,2020-03-01 18:17:14,broken clouds,0.0,0.0
220,Hirado,33.36,129.55,55.4,71,90,13.87,JP,2020-03-01 18:17:15,overcast clouds,0.0,0.0
221,Byron Bay,-28.65,153.62,72.0,88,42,6.93,AU,2020-03-01 18:15:00,scattered clouds,0.0,0.0
222,Trairi,-3.28,-39.27,82.18,82,95,5.01,BR,2020-03-01 18:17:15,moderate rain,4.44,0.0
223,Chimbote,-9.09,-78.58,80.96,60,100,11.12,PE,2020-03-01 18:17:15,overcast clouds,0.0,0.0
224,Tazovskiy,67.47,78.7,22.95,85,100,16.49,RU,2020-03-01 18:17:15,overcast clouds,0.0,0.0
225,Najran,17.49,44.13,82.4,24,0,6.93,SA,2020-03-01 18:17:15,clear sky,0.0,0.0
226,Berdigestyakh,62.1,126.7,-11.38,99,28,2.28,RU,2020-03-01 18:12:59,scattered clouds,0.0,0.0
227,Oltu,40.55,42.0,24.37,96,100,4.25,TR,2020-03-01 18:17:16,light snow,0.0,0.44
228,Teya,60.38,92.63,5.54,94,54,5.61,RU,2020-03-01 18:17:16,broken clouds,0.0,0.0
